start,end,size,internal_calls,imports
00002F1C,0000307C,352,,
0000307C,00003118,156,,
00003118,00003348,560,0000DC34 0000DC34 0000DC34 0000DC34 000218F4 0000DC34 000218F4 000037DC,FindFolder FSMakeFSSpec FSpOpenResFile ResError FSpCreateResFile ResError FSpOpenResFile ResError PtrToHand AddResource ResError UpdateResFile CloseResFile Get1Resource BlockMove CloseResFile UseResFile GetString ReleaseResource
00003348,00003450,264,0000DC34 0000DC34,FSpOpenResFile ResError Get1Resource CloseResFile UseResFile BlockMove ChangedResource WriteResource ResError UpdateResFile CloseResFile UseResFile
00003450,00003758,776,00002E7C 00003758 00003758 00003758 00003AB0 000037A4 0000DBA8 0000DBA8 00003348,UseResFile GetNewDialog ShowWindow SelectWindow SetPort SetDialogDefaultItem SetDialogCancelItem SetDialogTracksCursor GetString GetString c2pstr ParamText ModalDialog GetString ParamText Alert Alert EqualString EqualString EqualString EqualString HideWindow DisposeDialog
00003758,000037A4,76,,GetDialogItem GetDialogItemText
000037A4,000037DC,56,00003758,StringToNum
000037DC,000038B4,216,0000DBA8 0000DBA8 0000DBA8 0000DBA8 00003980 00003AB0,NumToString
000038B4,000038F8,68,,
000038F8,00003980,136,,
00003980,00003AB0,304,000038B4 000038F8,
00003AB0,00003B40,144,00003980,EqualString
00003B40,00003BC0,128,00003BC0 00003BFC 00003BFC,Gestalt
00003BC0,00003BFC,60,,GetToolTrapAddress CallUniversalProc
00003BFC,00003C48,76,,GetToolTrapAddress CallUniversalProc
00003C48,00003D7C,308,00003D7C 0000DD08 0000DD08 0000DD08,NewPtr NewPtr NewPtrClear NewRoutineDescriptor
00003D7C,00004064,744,00005178 0000DD08,GetDeviceList GetNextDevice GetVideoDefault NewPtr
00004064,000040C4,96,,
000040C4,00004134,112,,
00004134,0000419C,104,,
0000419C,000041BC,32,,
000041BC,000041E4,40,,
000041E4,00004338,340,,
00004338,000043B4,124,,
000043B4,00004438,132,,
00004438,000044A0,104,,
000044A0,00004510,112,,
00004510,0000456C,92,,
0000456C,000045EC,128,,
000045EC,0000473C,336,,
0000473C,00004774,56,,
00004774,0000488C,280,000045EC,
0000488C,000048F0,100,000048F0,
000048F0,00004944,84,,
00004944,00004A9C,344,,
00004A9C,00004B94,248,00004B94 0000419C,SetCurrentA5 SlotVInstall SlotVRemove
00004B94,00004C18,132,00004E24 00004E24,
00004C18,00004E24,524,0000E140,
00004E24,00004E80,92,,Random
00004E80,00004F64,228,000045EC,
00004F64,00005048,228,000045EC,
00005048,000050D4,140,,
000050D4,00005178,164,,
00005178,00005220,168,,GetDCtlEntry GetHandleSize Gestalt
00005220,000052FC,220,00023850,
000052FC,00005514,536,00023850 000044A0 00004438 000043B4 00004338,
00005514,000055F0,220,000052FC 00005220 000052FC 00005220 000052FC,
000055F0,00005740,336,000044A0 00004438 000043B4 00004338,
00005740,000057B0,112,,
000057B0,000057BC,12,,
000057BC,00005AF4,824,00023850 000052FC 00005740 000055F0 00004064 000050D4 00004064 000050D4 00005740 00004064 000050D4 00004064 000050D4 00004064 000050D4 00005740 000055F0,FlushEvents LMGetTicks LMGetTicks GetOSEvent FlushEvents
00005AF4,00005B34,64,000052FC,
00005B34,00005BC4,144,000052FC,HideCursor ShowCursor
00005BC4,00005C88,196,000057B0 00005220 000057B0 00004064 00005AF4,HideCursor ShowCursor
00005C88,00005D78,240,00005B34 00005B34 00005B34 00005B34 00005B34,Delay Delay Delay Delay
00005D78,00005FDC,612,00023870 00023850 00023870 00005220 00005220 00005AF4,CurResFile UseResFile GetIndString NewPtrClear GetIndString p2cstr UseResFile
00005FDC,0000609C,192,00005220,PtInRect
0000609C,000062F0,596,00005D78 00005FDC 00005B34 00002628 0000DD84 00005FDC 00005B34 00005B34 00005C88,UseResFile FlushEvents HideCursor GetOSEvent ShowCursor GetOSEvent DisposePtr FlushEvents
000062F0,00006358,104,,UseResFile GetIndString p2cstr
00006358,00006AC8,1904,0000DC9C 000040C4 00005514 00005D78 00005D78 000062F0 000052FC 00005FDC 00005B34 00005FDC 00005B34 00004064 00005514 00002628 00004064 00005514 00005FDC 00005B34 00005B34 00005FDC 00005B34 00005B34 00005C88 00005C88 00004064 00005514 00004064 00005514 00004064 00005514 000062F0 00004064 000052FC 00004064 00005514 00002628,UseResFile GetResource ReleaseResource FlushEvents GetMouse ShowCursor LMGetTicks HideCursor ShowCursor GetMouse Button HideCursor FlushEvents GetOSEvent LMGetTicks LMGetTicks ShowCursor HideCursor FlushEvents DisposePtr DisposePtr
00006AC8,00006DCC,772,00023870 00005220 00005514 000057B0 000052FC 0001487C 000057BC 00023870 00002D18 000057B0,GetDateTime UseResFile GetIndString p2cstr
00006DCC,000072F0,1316,000041BC 00005514 00005514 000057B0 000057B0 00004E80 00006AC8 000057B0 000057B0 00004E80 00023748 00023748 000057B0 00005514 0000609C 00002628 000040C4 000040C4 00004F64 00007A2C 00023870 00007A2C 00004E80 00002628 000040C4 000040C4 00016DA4 00004510 00004134 00012BF0,UseResFile FlushEvents GetOSEvent FlushEvents ShowCursor HideCursor GetDateTime GetDateTime
000072F0,00007A2C,1852,00002628 000040C4 0000DC9C 00005514 00023748 00005514 0000DC9C 00005514 00005514 00005514 00023748 0000B268 00005514 00023870 00023748 00005514 00023748 00005514 00004E24 000057B0 00005D78 00005D78 00005FDC 00005B34 00005FDC 00005B34 00002628 0000DD84 00005FDC 00005B34 00005B34 00005FDC 00005B34 00005B34 00005C88 00002BF0 00002D18 00005C88 00002628 00004F64 00007A2C 00004E80 00002628 00002628 000040C4,UseResFile GetResource ReleaseResource GetResource ReleaseResource Index2Color Index2Color RGBForeColor RGBForeColor RGBForeColor IUDateString IUTimeString MoveTo DrawString Move DrawString RGBForeColor FlushEvents GetMouse ShowCursor GetOSEvent Button UseResFile Alert HideCursor ShowCursor HideCursor FlushEvents DisposePtr DisposePtr
00007A2C,00008788,3420,000040C4 0000DC9C 00005514 00005514 00005514 00005514 000238D0 000238D0 00005514 00023748 00023748 000238D0 00005514 00005514 00005514 0000DC9C 00004E24 00005514 00023748 00023870 00005514 00008788 00005D78 00005FDC 00005B34 00002628 00008788 00005FDC 00005B34 00005B34 00005C88 00002628 000040C4,UseResFile GetResource ReleaseResource GetDateTime IUDateString IUTimeString p2cstr p2cstr Get1IndResource Random ReleaseResource FlushEvents GetOSEvent LMGetTicks ShowCursor LMGetTicks LMGetTicks GetOSEvent FlushEvents DisposePtr HideCursor
00008788,00008968,480,0000456C,GetMouse SectRect HideCursor ShowCursor
00008968,00008BB4,588,0002388C 00005740 0002388C 00005220 00005514,
00008BB4,00008FFC,1096,00002628 000040C4 00005D78 00005220 00005AF4 00005BC4 000091B0 00005FDC 00005B34 00002628 00008788 0000DD84 00005FDC 00005B34 00005B34 00005C88 00005C88 00005BC4 00005BC4 000091B0 00005C88 00005BC4 00005BC4 000091B0 00002628 000040C4,UseResFile FlushEvents GetMouse ShowCursor LMGetTicks LMGetTicks LMGetTicks GetOSEvent Button HideCursor FlushEvents DisposePtr
00008FFC,000091B0,436,0000DC9C 0000DC9C 0000DC9C 00005514 00008968,UseResFile GetResource GetResource GetResource GetResInfo p2cstr GetHandleSize ReleaseResource ReleaseResource ReleaseResource
000091B0,000098F0,1856,00004064 00008FFC 0000DC9C 0000DC9C 00005514 00004E24 00005514 00023850 00008968 00008788,HideCursor ShowCursor UseResFile GetResource GetResource GetResInfo p2cstr ReleaseResource Random ReleaseResource ShowCursor
000098F0,0000A338,2632,000040C4 0000DC9C 00023748 00005514 0000DC9C 00005514 00005514 00023748 00005514 00005514 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 0000DEB0 0000A338 00008788 00005514 00023748 00005514 00002628 00008788 00002628 000040C4,UseResFile GetResource ReleaseResource GetResource ReleaseResource FlushEvents LMGetTicks LMGetTicks LMGetTicks GetOSEvent FlushEvents
0000A338,0000A7C4,1164,00004E24,Random
0000A7C4,0000ADC4,1536,000057B0 0000DC9C 0000DC9C 00002628 000040C4 00005514 00005514 00005514 00005514 00005D78 00005220 00005AF4 0000ADC4 0000ADC4 0000ADC4 0000ADC4 00005FDC 00005B34 00002628 0000DD84 00005FDC 00005B34 00005B34 00005C88 0000ADC4 00005C88 0001B634 0001BA34 0001B634 0001487C 0000ADC4 00005C88 0001B634 0001BA34 0001B634 0001487C 0000ADC4 00005C88 0000ADC4 00005C88 00002628 00004F64 00006358 00004E80 00002628 0000ADC4 00005C88 00002D18 00002628 000040C4,UseResFile GetResource GetResource ReleaseResource ReleaseResource FlushEvents GetMouse ShowCursor GetOSEvent Button HideCursor ShowCursor HideCursor FlushEvents DisposePtr
0000ADC4,0000B268,1188,000057B0 00023748 00005514 0000DC9C 00008968 000062F0 000238D0 000238D0 0000DC9C 00008968 00023850 00008968 0000DC9C 00008968 00005514 0000DC9C 00008968 00005514,HideCursor EraseRect GetResource GetHandleSize ReleaseResource EraseRect GetResource GetHandleSize ReleaseResource EraseRect GetResource GetHandleSize ReleaseResource EraseRect GetResource GetHandleSize ReleaseResource ShowCursor
0000B268,0000B604,924,,
0000B604,0000C68C,4232,00004510 0000DDD0 0000DDD0 00004510 0000DDD0 0000DDD0,CurResFile UseResFile GetResource UseResFile HLock HUnlock
0000C68C,0000CB4C,1216,,CurResFile UseResFile GetResource UseResFile SetHandleSize GetResInfo SetResInfo HLock GetDateTime HUnlock ChangedResource WriteResource UpdateResFile UseResFile ResError
